Date,Open,High,Low,Close,Adj Close,Volume
16/4/20,26.200001,27.469999,25.9,27.280001,27.280001,5000856
17/4/20,28.6,30.360001,28.6,29,29,5875612
20/4/20,28.799999,29.629999,28.08,29,29,4022044
21/4/20,28.450001,29.030001,27.190001,27.32,27.32,4544126
22/4/20,26.5,27.129999,25.67,26.57,26.57,4607128
23/4/20,27.25,27.65,26.6,27.15,27.15,3441190
24/4/20,27,27.58,26.85,27.01,27.01,2364336
27/4/20,27.299999,27.98,26.950001,27.75,27.75,2490798
28/4/20,27.99,28.5,27.9,28.309999,28.309999,2123047
29/4/20,28.379999,28.43,27.715,28.15,28.15,3607748
30/4/20,28.889999,31.450001,28.76,31.200001,31.200001,5934586
1/5/20,29.75,30.309999,28.799999,29.16,29.16,4389812
4/5/20,38,39.59,32.5,36.099998,36.099998,10338198
5/5/20,36.900002,38.18,36.48,38.18,38.18,4142140
6/5/20,38.509998,39.950001,38.509998,39.799999,39.799999,2881542
7/5/20,39.209999,39.73,38.52,39.5,39.5,2356639
8/5/20,39.279999,40,39.130001,39.880001,39.880001,2767830
11/5/20,39.900002,43.68,39.84,42.169998,42.169998,3677206
12/5/20,42.5,43.18,40.700001,41.68,41.68,3852252
13/5/20,40.490002,43.5,39.700001,43.459999,43.459999,4676501
14/5/20,41.959999,43.599998,41.529999,41.650002,41.650002,2504456
15/5/20,42.400002,42.669998,40.759998,41.200001,41.200001,2941144
18/5/20,42.360001,42.599998,41.5,42.310001,42.310001,1922681
19/5/20,43.099998,43.330002,41.709999,42,42,2347223
20/5/20,41.75,43.400002,41.68,42.889999,42.889999,2140591
21/5/20,44.200001,45.169998,43.68,44,44,3316651
22/5/20,44.25,45.040001,44.110001,44.509998,44.509998,2729757
25/5/20,45.02,49,45.02,48.5,48.5,3365690
26/5/20,49,50.009998,48.52,49.110001,49.110001,3639200
27/5/20,48.48,48.599998,44.869999,45.25,45.25,5796090
28/5/20,46.5,46.900002,45.380001,46.09,46.09,3539499
29/5/20,46.849998,47.57,46.150002,47.41,47.41,24439242
1/6/20,46.529999,48.099998,46.529999,47.75,47.75,2732777
2/6/20,48.220001,49.52,48.02,49.52,49.52,3449017
3/6/20,50.119999,52.290001,50.02,52.259998,52.259998,2924104
4/6/20,53.5,53.810001,51.919998,52.200001,52.200001,3448569
5/6/20,51.990002,52.41,50.150002,50.610001,50.610001,2856264
9/6/20,51.25,51.580002,50.389999,50.700001,50.700001,2949883
10/6/20,50.689999,54.849998,50.560001,54.52,54.52,3581421
11/6/20,52.599998,53.639999,51.84,52.099998,52.099998,2721178
12/6/20,49,52.650002,47.09,51.860001,51.860001,4254124
15/6/20,52,54.630001,51.040001,51.16,51.16,3108059
16/6/20,53.709999,57.07,53.599998,56.52,56.52,3606092
17/6/20,57,58.459999,56.349998,57.73,57.73,2769552
18/6/20,58.43,59.639999,57.650002,57.84,57.84,2422807
19/6/20,58,58.990002,56.950001,58.689999,58.689999,4301340
22/6/20,57.709999,58.790001,56.740002,57.939999,57.939999,1447243
23/6/20,58.18,59.599998,56.849998,59.169998,59.169998,1906196
24/6/20,60.060001,62.330002,59.330002,59.380001,59.380001,2644823
25/6/20,57.860001,58.790001,56.009998,56.919998,56.919998,2870206
26/6/20,58.299999,58.860001,56.290001,57,57,2299450
29/6/20,55.439999,58,55.299999,56.900002,56.900002,1564394
30/6/20,58.27,61.299999,57.439999,60.990002,60.990002,3256850
1/7/20,60.490002,63.900002,59.66,62.240002,62.240002,2559434
2/7/20,64.199997,68.620003,63.91,68.160004,68.160004,2818784
3/7/20,68.269997,70,66.580002,67.5,67.5,2563465
6/7/20,67.699997,68.800003,67.550003,68,68,1407381
7/7/20,68,68,68,68,68,0
8/7/20,66.5,67.5,65.309998,66,66,8083523
9/7/20,68,75.260002,66.910004,73.5,73.5,5272236
10/7/20,73.510002,76.620003,72.010002,72.309998,72.309998,3558277
13/7/20,74.209999,75,69.07,71.739998,71.739998,3328978
14/7/20,68.800003,69.889999,65.550003,66.550003,66.550003,3460584
15/7/20,69.010002,70.489998,67.660004,68.160004,68.160004,3361154
16/7/20,69.5,69.589996,67.209999,67.440002,67.440002,2626181
17/7/20,67.25,69.059998,66.160004,67.370003,67.370003,2700416
20/7/20,67.370003,69.769997,67.370003,69.489998,69.489998,2156609
21/7/20,71.470001,75.650002,71.32,75.050003,75.050003,2870504
22/7/20,74.339996,75,71.75,72.5,72.5,1723097
23/7/20,71.760002,73.269997,71.139999,72,72,1509783
24/7/20,70.610001,70.940002,69.260002,69.809998,69.809998,1847158
27/7/20,69.230003,71.839996,68.699997,70.269997,70.269997,1626068
28/7/20,71.43,71.620003,68.510002,68.57,68.57,1510683
29/7/20,68.029999,68.32,66.779999,67.769997,67.769997,1603335
30/7/20,68.410004,70.279999,68.220001,68.82,68.82,1501679
31/7/20,69.449997,70.139999,68.129997,68.540001,68.540001,1309505
3/8/20,68.5,68.720001,65.529999,66.5,66.5,2182769
4/8/20,68.5,71.519997,67.910004,70.800003,70.800003,2127951
5/8/20,70.129997,71.32,69.660004,71,71,1163828
6/8/20,71.400002,72.400002,70.720001,71.260002,71.260002,1089883
7/8/20,71.25,71.419998,70.18,70.699997,70.699997,2626875
10/8/20,70,73.010002,69.599998,72.540001,72.540001,1616583
11/8/20,72,72.349998,69.699997,70.18,70.18,5252392
12/8/20,69.709999,71.790001,69,71.050003,71.050003,1729222
13/8/20,71.949997,74.25,71.050003,71.290001,71.290001,1950561
14/8/20,71.099998,75.800003,71.099998,75.800003,75.800003,1957534
17/8/20,75.75,75.800003,73.660004,73.779999,73.779999,1394682
18/8/20,74.639999,76.339996,74.110001,75,75,1508494
19/8/20,76.349998,77,74.900002,74.900002,74.900002,2027639
20/8/20,80.769997,82,79.080002,79.980003,79.980003,3070706
21/8/20,81.5,82,78.900002,78.949997,78.949997,2199838
24/8/20,81.389999,83,80.650002,82.730003,82.730003,1965325
25/8/20,85,93.5,84.919998,92.480003,92.480003,2799172
26/8/20,91.660004,92.190002,88.970001,90.720001,90.720001,3370009
27/8/20,93.989998,95.970001,85.019997,91.260002,91.260002,3546928
28/8/20,90.599998,91.260002,86.610001,88.75,88.75,2694627
31/8/20,88,93.260002,87.440002,91.440002,91.440002,2407904
1/9/20,89.080002,90.510002,82.599998,84.089996,84.089996,6263238
2/9/20,83.690002,83.919998,73.68,82.5,82.5,5412950
3/9/20,84.360001,86.480003,82.169998,83.790001,83.790001,2525735
4/9/20,77.019997,80.849998,76.129997,78.199997,78.199997,2986669
7/9/20,76.550003,77.800003,74.559998,76.349998,76.349998,2457661
8/9/20,77.150002,77.75,74.760002,75.040001,75.040001,1770690
9/9/20,70.699997,74.93,70.059998,74.050003,74.050003,3468179
